-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
-3.014999999999998,48.1989
-3.0156499999999986,48.199017
