id,latitude,longitude
"1",48.19897237,-3.01529387
"2",48.19898252,-3.01549327
"3",48.19904160,-3.01549235
"4",48.19904899,-3.01528741
"5",48.19912007,-3.01528372
"6",48.19911269,-3.01549788
"7",48.19920500,-3.01549327
"8",48.19919854,-3.01528280
